id,picture_id,name,now_cost,position,team,expected_goals_conceded,corners_and_indirect_freekicks_order,selected_rank_type,points_per_game_rank_type,minutes,points_per_game,expected_goals_conceded_per_90,value_season,ep_next,starts,chance_of_playing_this_round,form_rank,form,expected_goal_involvements,own_goals,saves_per_90,assists,expected_assists_per_90,goals_conceded,bonus,yellow_cards,influence_rank,creativity_rank,expected_goals,chance_of_playing_next_round,penalties_missed,event_points,web_name,penalties_order,value_form,transfers_in,in_dreamteam,now_cost_rank,ep_this,selected_rank,goals_scored,ict_index_rank,transfers_in_event,ict_index,transfers_out_event,cost_change_start_fall,transfers_out,expected_goals_per_90,creativity_rank_type,influence,now_cost_rank_type,threat,news,penalties_saved,threat_rank,clean_sheets_per_90,dreamteam_count,clean_sheets,starts_per_90,cost_change_event_fall,status,selected_by_percent,total_points,form_rank_type,saves,bps,cost_change_event,expected_goal_involvements_per_90,goals_conceded_per_90,expected_assists,ict_index_rank_type,points_per_game_rank,direct_freekicks_order,news_added,cost_change_start,red_cards,creativity,threat_rank_type,influence_rank_type
389,p222690,Tyrell Malacia,43,DEF,Man Utd,0.00,,209,219,0,0.0,0.0,0.0,0.0,0,0.0,498,0.0,0.00,0,0.0,0,0.0,0,0,0,567,555,0.00,0.0,0,0,Malacia,,0.0,510,FALSE,589,0.0,587,0,573,23,0.0,37,2,4429,0.0,221,0.0,147,0.0,Knee injury - Unknown return date,0,538,0.0,0,0,0.0,0,i,0.0,0,199,0,0,0,0.0,0.0,0.00,221,579,,2023-08-06T23:30:05.886466Z,-2,0,0.0,218,222
390,p148225,Anthony Martial,64,FWD,Man Utd,3.94,,43,43,241,1.1,1.47,1.7,1.5,2,100.0,265,1.0,0.50,0,0.0,0,0.03,4,0,0,372,192,0.41,100.0,0,1,Martial,2.0,0.2,21349,FALSE,50,2.0,267,0,290,1468,14.5,1120,1,29631,0.15,29,22.6,17,63.0,,0,172,0.0,0,0,0.75,0,a,0.3,11,31,0,30,0,0.18,1.49,0.09,39,361,,2023-08-06T23:30:05.902302Z,-1,0,63.4,38,43
391,p221820,Lisandro Martínez,47,DEF,Man Utd,5.51,,51,136,375,1.0,1.32,1.1,0.0,5,0.0,644,0.0,0.08,1,0.0,1,0.02,8,0,2,262,247,0.00,0.0,0,0,Martinez,,0.0,83028,FALSE,324,0.0,119,0,313,91,11.9,5218,3,559390,0.0,73,74.0,40,2.0,Foot injury - Expected back 14 Jan,0,404,0.0,0,0,1.2,0,i,2.4,5,232,0,74,0,0.02,1.92,0.08,112,404,,2023-09-23T22:30:07.521955Z,-3,0,43.5,146,106
392,p195851,Scott McTominay,48,MID,Man Utd,9.46,,49,33,516,4.0,1.65,7.5,3.2,6,100.0,122,2.7,1.05,0,0.0,0,0.01,7,3,0,117,322,0.99,100.0,0,3,McTominay,,0.6,161978,FALSE,296,3.7,154,3,142,9404,33.3,7330,2,39885,0.17,167,182.2,194,128.0,,0,94,0.52,1,3,1.05,0,a,1.4,36,55,0,123,0,0.18,1.22,0.06,73,60,,2023-09-27T09:00:08.838995Z,-2,0,21.7,58,47
394,p488404,Facundo Pellistri Rebollo,44,MID,Man Utd,2.15,,93,117,110,1.8,1.76,2.0,1.8,1,,218,1.3,0.38,0,0.0,1,0.08,1,0,0,359,341,0.28,,0,0,Pellistri,,0.3,40590,FALSE,550,2.3,292,0,349,1046,8.2,1047,1,31504,0.23,176,27.6,307,38.0,,0,233,0.0,0,0,0.82,0,a,0.3,9,103,0,27,0,0.31,0.82,0.10,157,268,,,-1,0,15.3,122,158
395,p90152,Raphaël Varane,50,DEF,Man Utd,6.21,,49,60,340,2.6,1.64,4.2,1.2,4,100.0,303,0.7,0.82,0,0.0,0,0.04,5,2,0,220,318,0.68,100.0,0,1,R.Varane,,0.1,424463,FALSE,171,1.7,116,1,255,2662,19.2,5905,0,559691,0.18,111,103.4,20,66.0,,0,167,0.26,1,1,1.06,0,a,2.6,21,101,0,100,0,0.22,1.32,0.14,84,177,,2023-08-26T21:00:08.220190Z,0,0,22.5,33,92
396,p176297,Marcus Rashford,86,MID,Man Utd,16.92,,11,53,931,3.2,1.64,4.1,2.2,11,100.0,204,1.7,5.26,0,0.0,2,0.15,16,0,1,188,62,3.76,100.0,0,3,Rashford,3.0,0.2,719554,FALSE,6,2.7,30,1,42,6275,62.8,31846,4,4014075,0.36,46,120.8,4,335.0,,0,16,0.29,0,3,1.06,0,a,12.9,35,97,0,90,0,0.51,1.55,1.50,31,122,2.0,2023-11-04T15:30:08.920648Z,-4,0,171.5,10,74
397,p209243,Jadon Sancho,67,MID,Man Utd,1.86,,84,215,76,1.0,2.2,0.4,0.0,0,0.0,731,0.0,0.07,0,0.0,0,0.08,1,0,0,406,345,0.00,0.0,0,0,Sancho,,0.0,6394,FALSE,41,0.0,257,0,393,49,3.6,434,3,67239,0.0,179,9.8,24,12.0,Not training with his club until further notice - Unknown return date,0,341,0.0,0,0,0.0,0,n,0.4,3,318,0,11,0,0.08,1.18,0.07,181,433,,2023-09-15T15:30:08.418514Z,-3,0,14.8,173,183
398,p106760,Luke Shaw,52,DEF,Man Utd,4.07,1.0,46,46,180,3.0,2.04,1.2,0.0,2,0.0,700,0.0,0.51,0,0.0,0,0.26,2,0,1,285,155,0.00,0.0,0,0,Shaw,,0.0,167151,FALSE,151,0.0,108,0,282,261,15.5,3691,3,2260510,0.0,36,59.8,13,10.0,Muscle injury - Unknown return date,0,350,0.5,0,1,1.0,0,i,2.9,6,236,0,48,0,0.26,1.0,0.51,97,139,,2023-08-24T22:30:06.920907Z,-3,0,85.2,121,113
399,p472464,Shola Shoretire,44,FWD,Man Utd,0.00,,45,64,0,0.0,0.0,0.0,0.5,0,,550,0.0,0.00,0,0.0,0,0.0,0,0,0,605,596,0.00,,0,0,Shoretire,,0.0,28590,FALSE,543,1.0,289,0,612,1033,0.0,852,1,24716,0.0,61,0.0,94,0.0,,0,582,0.0,0,0,0.0,0,a,0.3,0,51,0,0,0,0.0,0.0,0.00,60,618,,,-1,0,0.0,60,58
400,p180184,Donny van de Beek,48,MID,Man Utd,0.00,,186,197,2,1.0,0.0,0.2,0.5,0,,656,0.0,0.07,0,0.0,0,1.35,0,0,0,691,363,0.04,,0,0,Van de Beek,,0.0,1170,FALSE,295,1.0,525,0,428,54,1.6,74,2,3935,1.8,185,0.0,193,6.0,,0,376,0.0,0,0,0.0,0,a,0.0,1,267,0,3,0,3.15,0.0,0.03,199,411,,,-2,0,10.3,192,289
401,p214590,Aaron Wan-Bissaka,44,DEF,Man Utd,8.78,,47,17,430,3.8,1.84,5.2,3.2,5,100.0,112,2.7,0.94,0,0.0,1,0.2,6,5,2,183,197,0.00,100.0,0,0,Wan-Bissaka,,0.6,543961,FALSE,511,3.7,114,0,244,4746,20.0,7127,1,591372,0.0,54,123.2,109,14.0,,0,327,0.42,1,2,1.05,0,a,2.6,23,32,0,115,0,0.2,1.26,0.94,77,73,,2023-09-18T12:30:07.443857Z,-1,0,61.8,112,75
508,p199249,Sergio Reguilón,44,DEF,Man Utd,3.52,,81,16,257,3.8,1.23,3.4,3.5,3,100.0,91,3.0,0.37,0,0.0,0,0.12,4,2,1,356,231,0.02,100.0,0,8,Reguilón,,0.7,147465,FALSE,505,4.0,216,0,342,3068,8.5,832,1,116626,0.01,66,28.4,106,8.0,,0,360,0.7,0,2,1.05,0,a,0.6,15,26,0,60,0,0.13,1.4,0.35,120,72,,2023-09-29T13:30:09.411338Z,-1,0,49.1,127,138
597,p202641,André Onana,48,GKP,Man Utd,19.10,,4,10,1080,3.6,1.59,9.0,4.3,12,,31,5.3,0.01,0,3.75,0,0.0,16,2,3,12,427,0.00,75.0,0,8,Onana,,1.1,536241,FALSE,298,6.3,24,0,132,29222,34.3,18081,2,1809379,0.0,5,342.4,10,0.0,Shoulder injury - 75% chance of playing,0,683,0.33,0,4,1.0,0,d,14.7,43,2,45,233,0,0.0,1.33,0.01,5,90,,2023-11-19T22:30:09.103640Z,-2,0,0.2,78,5
617,p497894,Rasmus Højlund,71,FWD,Man Utd,10.39,,14,37,646,1.9,1.45,2.4,1.2,8,100.0,174,2.0,2.96,0,0.0,0,0.04,9,0,0,345,140,2.65,50.0,0,2,Højlund,,0.3,1023027,FALSE,31,3.0,81,0,159,5409,31.7,71965,-1,657709,0.37,15,32.2,13,194.0,Muscle injury - 50% chance of playing,0,46,0.42,0,3,1.11,0,d,5.2,17,22,0,16,0,0.41,1.25,0.31,28,264,,2023-11-12T02:00:10.258583Z,1,0,93.8,17,38
